Entity,Code,Year,Total alcohol consumption per capita,"GDP per capita, PPP",Population,Continent
Sub-Saharan Africa,,2018.0,5.83751043204873,3800.6145328349,,
Sub-Saharan Africa (IDA & IBRD),,2000.0,6.31508650673596,2665.29340386925,,
Sub-Saharan Africa (IDA & IBRD),,2005.0,6.10578681862541,3047.02632222363,,
Sub-Saharan Africa (IDA & IBRD),,2010.0,6.29337352173145,3479.47019101832,,
Sub-Saharan Africa (IDA & IBRD),,2015.0,5.87112630062417,3818.14015757417,,
Sub-Saharan Africa (IDA & IBRD),,2018.0,5.83751043204873,3800.6145328349,,
Sub-Saharan Africa (excluding high income),,2000.0,6.31487168729343,2663.30799320931,,
Sub-Saharan Africa (excluding high income),,2005.0,6.1057830852286,3045.36967756099,,
Sub-Saharan Africa (excluding high income),,2010.0,6.29279117014114,3477.67949387569,,
Sub-Saharan Africa (excluding high income),,2015.0,5.86952709554098,3816.11403980831,,
Sub-Saharan Africa (excluding high income),,2018.0,5.83574345736585,3798.51004883848,,
Sudan,SDN,2015.0,0.52,4187.86272224264,38902948.0,Africa
Sudan,SDN,2018.0,0.51,4344.52988671066,41801532.0,
Suriname,SUR,2000.0,5.29,13068.206154071,470944.0,
Suriname,SUR,2005.0,5.41,15908.3007840511,499461.0,
Suriname,SUR,2010.0,6.22,18840.3689668707,529126.0,
Suriname,SUR,2015.0,5.81,19317.0545070113,559136.0,South America
Suriname,SUR,2018.0,5.33,19005.6543464151,575987.0,
Sweden,SWE,2000.0,8.53,40625.3620520538,8881642.0,
Sweden,SWE,2005.0,8.64,45440.2967492535,9038627.0,
Sweden,SWE,2010.0,9.49,47791.3715245947,9390157.0,
Sweden,SWE,2015.0,9.13,50928.962975552,9764949.0,Europe
Sweden,SWE,2018.0,8.93,52349.2924275599,9971630.0,
Switzerland,CHE,2000.0,12.49,59389.4240602209,7143764.0,
Switzerland,CHE,2005.0,11.64,61613.3910520748,7386818.0,
Switzerland,CHE,2010.0,11.41,65819.7372527487,7808674.0,
Switzerland,CHE,2015.0,11.58,68025.9200383988,8296775.0,Europe
Switzerland,CHE,2018.0,11.53,70663.4875973954,8525614.0,
Tajikistan,TJK,2000.0,2.97,1324.90986011034,6216329.0,
Tajikistan,TJK,2005.0,2.51,1924.11690363046,6789318.0,
Tajikistan,TJK,2010.0,2.4,2390.02217412609,7527397.0,
Tajikistan,TJK,2015.0,3.11,2984.49491330069,8454019.0,Asia
Tajikistan,TJK,2018.0,3.28,3415.32233593608,9100847.0,
Tanzania,TZA,2000.0,8.63,1409.45396400343,33499177.0,
Tanzania,TZA,2005.0,8.71,1719.7277571198,38450323.0,
Tanzania,TZA,2010.0,9.74,2006.97132607023,44346532.0,
Tanzania,TZA,2015.0,11.05,2354.13898543629,51482638.0,Africa
Tanzania,TZA,2018.0,11.27,2590.20113826159,56313444.0,
Thailand,THA,2000.0,6.49,9809.62237014961,62952639.0,
Thailand,THA,2005.0,6.81,12304.4020760731,65416189.0,
Thailand,THA,2010.0,7.71,14399.0445142977,67195032.0,
Thailand,THA,2015.0,8.36,16285.3865749723,68714519.0,Asia
Thailand,THA,2018.0,8.3,18095.7365704368,69428454.0,
Timor,TLS,2000.0,1.53,2328.30466726771,884366.0,
Timor,TLS,2005.0,0.83,2272.4450564684,995130.0,
Timor,TLS,2010.0,0.7,2930.05449067477,1093517.0,
Timor,TLS,2015.0,2.01,3297.88916309166,1196294.0,Asia
Timor,TLS,2018.0,2.17,3051.66811727864,1267975.0,
Togo,TGO,2000.0,1.79,1700.44139725969,4924406.0,
Togo,TGO,2005.0,3.26,1573.68375172638,5611643.0,
Togo,TGO,2010.0,2.11,1625.54544570615,6421674.0,
Togo,TGO,2015.0,2.37,1920.46930701736,7323162.0,Africa
Togo,TGO,2018.0,2.46,2061.33417572853,7889095.0,
Tonga,TON,2000.0,1.7,5034.41516562787,97962.0,
Tonga,TON,2005.0,2.32,5312.37415216318,100908.0,
Tonga,TON,2010.0,1.39,5166.93205439861,103981.0,
Tonga,TON,2015.0,0.68,5944.4526863595,100780.0,Oceania
Tonga,TON,2018.0,0.8,6411.28936778647,103199.0,
Trinidad and Tobago,TTO,2000.0,5.27,16939.5254674584,1267159.0,
Trinidad and Tobago,TTO,2005.0,6.17,24424.857914511,1296497.0,
Trinidad and Tobago,TTO,2010.0,6.21,28879.2873679678,1328144.0,
Trinidad and Tobago,TTO,2015.0,6.88,29053.3347831462,1370332.0,North America
Trinidad and Tobago,TTO,2018.0,6.72,26250.3722429394,1389841.0,
Tunisia,TUN,2000.0,1.36,7329.34512574055,9708347.0,
Tunisia,TUN,2005.0,1.46,8523.08877705473,10106778.0,
Tunisia,TUN,2010.0,1.4,10113.3703487395,10635245.0,
Tunisia,TUN,2015.0,1.99,10510.3303060416,11179951.0,Africa
Tunisia,TUN,2018.0,2.12,10763.7297838206,11565203.0,
Turkey,TUR,2000.0,2.41,15433.5871175503,63240196.0,
Turkey,TUR,2005.0,2.12,18251.6691007312,67903461.0,
Turkey,TUR,2010.0,2.32,20027.6668282982,72326992.0,
Turkey,TUR,2015.0,2.12,25958.6407622392,78529413.0,Asia
Turkey,TUR,2018.0,2.05,28312.6834243604,82340090.0,
Turkmenistan,TKM,2000.0,4.82,4622.07875656117,4516128.0,
Turkmenistan,TKM,2005.0,4.88,5629.0698391954,4754652.0,
Turkmenistan,TKM,2010.0,4.82,8616.88953254413,5087211.0,
Turkmenistan,TKM,2015.0,5.3,12993.5318096291,5565283.0,Asia
Turkmenistan,TKM,2018.0,4.93,14845.3446497287,5850902.0,
Tuvalu,TUV,2000.0,1.96,3350.87938468241,9392.0,
Tuvalu,TUV,2005.0,2.03,3167.25002441682,9997.0,
Tuvalu,TUV,2010.0,1.68,3281.50217714704,10521.0,
Tuvalu,TUV,2015.0,1.98,3720.30531533443,11099.0,Oceania
Tuvalu,TUV,2018.0,1.52,3945.56367272662,11505.0,
Uganda,UGA,2000.0,13.61,1252.75213083501,23650159.0,
Uganda,UGA,2005.0,12.92,1480.0521561082,27684590.0,
Uganda,UGA,2010.0,13.5,1861.2824578388,32428164.0,
Uganda,UGA,2015.0,15.14,2054.09044873783,38225447.0,Africa
Uganda,UGA,2018.0,15.09,2121.96781993514,42729032.0,
Ukraine,UKR,2000.0,12.46,7221.46560780007,48838058.0,
Ukraine,UKR,2005.0,12.01,10957.5582756783,46890775.0,
Ukraine,UKR,2010.0,13.57,11778.3136960259,45792086.0,
Ukraine,UKR,2015.0,10.16,11237.0744571217,44921636.0,Europe
Ukraine,UKR,2018.0,8.32,12338.0024454764,44246158.0,
United Arab Emirates,ARE,2000.0,2.58,102494.714619638,3134067.0,
United Arab Emirates,ARE,2005.0,3.64,90894.8988067777,4588222.0,
United Arab Emirates,ARE,2010.0,3.15,54921.7755754851,8549998.0,
United Arab Emirates,ARE,2015.0,3.79,65218.8204340815,9262896.0,Asia
United Arab Emirates,ARE,2018.0,3.9,66968.2211775042,9630966.0,
United Kingdom,GBR,2000.0,13.73,38280.8002708435,58923305.0,
United Kingdom,GBR,2005.0,13.89,42629.9482187521,60287953.0,
United Kingdom,GBR,2010.0,12.06,42089.0136357977,63459801.0,
United Kingdom,GBR,2015.0,11.21,44840.7826443684,65860149.0,Europe
United Kingdom,GBR,2018.0,11.45,46037.9005384222,67141678.0,
United States,USA,2000.0,9.19,50124.8911771197,281710914.0,
United States,USA,2005.0,9.49,54353.0685764315,294993509.0,
United States,USA,2010.0,9.36,54315.9124805391,309011469.0,
United States,USA,2015.0,9.82,58540.2960929977,320878312.0,North America
United States,USA,2018.0,9.87,61585.7560382102,327096263.0,
Upper middle income,,2000.0,5.7819944936875,7215.47068940092,,
Upper middle income,,2005.0,5.89450622032696,9204.9575010565,,
Upper middle income,,2010.0,7.5329834071624,12232.7519036646,,
Upper middle income,,2015.0,7.17935412257323,15128.8694155229,,
Upper middle income,,2018.0,6.96359180352477,16893.6855494372,,
Uruguay,URY,2000.0,8.09,14482.7545481357,3319734.0,
Uruguay,URY,2005.0,7.46,14606.4661146239,3321799.0,
Uruguay,URY,2010.0,7.1,19293.7407978576,3359273.0,
Uruguay,URY,2015.0,6.99,22425.8300844671,3412013.0,South America
Uruguay,URY,2018.0,6.92,23035.0833880454,3449290.0,
Uzbekistan,UZB,2000.0,5.68,2786.43037415465,24769955.0,
Uzbekistan,UZB,2005.0,4.15,3405.21630793091,26427785.0,
Uzbekistan,UZB,2010.0,3.01,4651.52296182589,28515908.0,
Uzbekistan,UZB,2015.0,2.59,6086.71574219326,30929556.0,Asia
Uzbekistan,UZB,2018.0,2.59,6755.48097366685,32476232.0,
Vanuatu,VUT,2000.0,1.17,3068.09586636035,184964.0,
Vanuatu,VUT,2005.0,1.2,2835.92704585306,209282.0,
Vanuatu,VUT,2010.0,1.7,3088.97887864833,236216.0,
Vanuatu,VUT,2015.0,2.14,2915.70045998521,271128.0,Oceania
Vanuatu,VUT,2018.0,2.25,3093.46154723291,292675.0,
Vietnam,VNM,2000.0,2.21,2954.98290492635,79910411.0,
Vietnam,VNM,2005.0,2.63,3931.76536810297,83832662.0,
Vietnam,VNM,2010.0,4.9,5089.41101647328,87967655.0,
Vietnam,VNM,2015.0,7.86,6438.25985369358,92677082.0,Asia
Vietnam,VNM,2018.0,8.66,7585.94315504036,95545959.0,
World,OWID_WRL,2000.0,5.48833877584606,11079.9092406035,6143776621.0,
World,OWID_WRL,2005.0,5.42883928526903,12461.0411344146,6542205330.0,
World,OWID_WRL,2010.0,6.2837771956014,13890.5139041105,6957137521.0,
World,OWID_WRL,2015.0,6.29785904438514,15509.996466722,7380117870.0,
World,OWID_WRL,2018.0,6.18140363000971,16636.8480109565,7631091110.0,
Zambia,ZMB,2000.0,4.05,1990.85899129325,10415942.0,
Zambia,ZMB,2005.0,3.9,2362.9022262854,11856244.0,
Zambia,ZMB,2010.0,5.43,3125.52884870272,13605986.0,
Zambia,ZMB,2015.0,6.89,3443.55325404862,15879370.0,Africa
Zambia,ZMB,2018.0,6.54,3521.5420629895,17351714.0,
Zimbabwe,ZWE,2000.0,2.46,3756.13948282406,11881482.0,
Zimbabwe,ZWE,2005.0,2.77,2517.67270711744,12076697.0,
Zimbabwe,ZWE,2010.0,3.93,2458.22062578173,12697728.0,
Zimbabwe,ZWE,2015.0,4.92,3198.982128793,13814642.0,Africa
Zimbabwe,ZWE,2018.0,4.67,3341.66541766316,14438812.0,
